Result	Total	Test_Condition	Iteration	N
FN	6	Balanced	23	3077
FP	6	Balanced	23	2
TN	6	Balanced	23	2161
TP	6	Balanced	23	572
FN	6	Balanced	24	2807
FP	6	Balanced	24	6
TN	6	Balanced	24	2153
TP	6	Balanced	24	844
FN	6	Balanced	25	3215
FP	6	Balanced	25	1
TN	6	Balanced	25	2160
TP	6	Balanced	25	437
FN	6	Balanced	26	3069
FP	6	Balanced	26	8
TN	6	Balanced	26	2146
TP	6	Balanced	26	577
FN	6	Balanced	27	2494
FP	6	Balanced	27	58
TN	6	Balanced	27	2104
TP	6	Balanced	27	1150
FN	6	Balanced	28	2586
FP	6	Balanced	28	34
TN	6	Balanced	28	2131
TP	6	Balanced	28	1064
FN	6	Balanced	29	3383
FP	6	Balanced	29	2
TN	6	Balanced	29	2155
TP	6	Balanced	29	265
FN	6	Balanced	30	2777
FP	6	Balanced	30	1
TN	6	Balanced	30	2161
TP	6	Balanced	30	875
FN	6	Unbalanced JS	1	2568
FP	6	Unbalanced JS	1	192
TN	6	Unbalanced JS	1	1961
TP	6	Unbalanced JS	1	1080
FN	6	Unbalanced JS	2	3030
FP	6	Unbalanced JS	2	7
TN	6	Unbalanced JS	2	2150
TP	6	Unbalanced JS	2	607
FN	6	Unbalanced JS	3	2846
FP	6	Unbalanced JS	3	7
TN	6	Unbalanced JS	3	2150
TP	6	Unbalanced JS	3	802
FN	6	Unbalanced JS	4	3070
FP	6	Unbalanced JS	4	14
TN	6	Unbalanced JS	4	2138
TP	6	Unbalanced JS	4	562
FN	6	Unbalanced JS	5	2511
FP	6	Unbalanced JS	5	4
TN	6	Unbalanced JS	5	2160
TP	6	Unbalanced JS	5	1138
FN	6	Unbalanced JS	6	3527
FP	6	Unbalanced JS	6	1
TN	6	Unbalanced JS	6	2159
TP	6	Unbalanced JS	6	105
FN	6	Unbalanced JS	7	2612
FP	6	Unbalanced JS	7	22
TN	6	Unbalanced JS	7	2132
TP	6	Unbalanced JS	7	1033
FN	6	Unbalanced JS	8	3509
FP	6	Unbalanced JS	8	1
TN	6	Unbalanced JS	8	2153
TP	6	Unbalanced JS	8	129
FN	6	Unbalanced JS	9	2114
FP	6	Unbalanced JS	9	162
TN	6	Unbalanced JS	9	2000
TP	6	Unbalanced JS	9	1536
FN	6	Unbalanced JS	10	3487
FP	6	Unbalanced JS	10	0
TN	6	Unbalanced JS	10	2151
TP	6	Unbalanced JS	10	143
FN	6	Unbalanced JS	11	2978
FP	6	Unbalanced JS	11	7
TN	6	Unbalanced JS	11	2156
TP	6	Unbalanced JS	11	670
FN	6	Unbalanced JS	12	3361
FP	6	Unbalanced JS	12	3
TN	6	Unbalanced JS	12	2157
TP	6	Unbalanced JS	12	267
FN	6	Unbalanced JS	13	2201
FP	6	Unbalanced JS	13	59
TN	6	Unbalanced JS	13	2101
TP	6	Unbalanced JS	13	1447
FN	6	Unbalanced JS	14	3490
FP	6	Unbalanced JS	14	2
TN	6	Unbalanced JS	14	2154
TP	6	Unbalanced JS	14	140
FN	6	Unbalanced JS	15	2613
FP	6	Unbalanced JS	15	4
TN	6	Unbalanced JS	15	2158
TP	6	Unbalanced JS	15	1037
FN	6	Unbalanced JS	16	3464
FP	6	Unbalanced JS	16	2
TN	6	Unbalanced JS	16	2151
TP	6	Unbalanced JS	16	170
FN	6	Unbalanced JS	17	2577
FP	6	Unbalanced JS	17	18
TN	6	Unbalanced JS	17	2139
TP	6	Unbalanced JS	17	1072
FN	6	Unbalanced JS	18	3484
FP	6	Unbalanced JS	18	8
TN	6	Unbalanced JS	18	2146
TP	6	Unbalanced JS	18	145
FN	6	Unbalanced JS	19	2045
FP	6	Unbalanced JS	19	101
TN	6	Unbalanced JS	19	2061
TP	6	Unbalanced JS	19	1605
FN	6	Unbalanced JS	20	2914
FP	6	Unbalanced JS	20	7
TN	6	Unbalanced JS	20	2147
TP	6	Unbalanced JS	20	717
FN	6	Unbalanced JS	21	1816
FP	6	Unbalanced JS	21	170
TN	6	Unbalanced JS	21	1993
TP	6	Unbalanced JS	21	1832
FN	6	Unbalanced JS	22	2584
FP	6	Unbalanced JS	22	29
TN	6	Unbalanced JS	22	2133
TP	6	Unbalanced JS	22	1054
FN	6	Unbalanced JS	23	1980
FP	6	Unbalanced JS	23	51
TN	6	Unbalanced JS	23	2114
TP	6	Unbalanced JS	23	1671
FN	6	Unbalanced JS	24	3460
FP	6	Unbalanced JS	24	0
TN	6	Unbalanced JS	24	2154
TP	6	Unbalanced JS	24	171
FN	6	Unbalanced JS	25	2455
FP	6	Unbalanced JS	25	16
TN	6	Unbalanced JS	25	2145
TP	6	Unbalanced JS	25	1193
FN	6	Unbalanced JS	26	3407
FP	6	Unbalanced JS	26	2
TN	6	Unbalanced JS	26	2154
TP	6	Unbalanced JS	26	220
FN	6	Unbalanced JS	27	3249
FP	6	Unbalanced JS	27	1
TN	6	Unbalanced JS	27	2163
TP	6	Unbalanced JS	27	402
FN	6	Unbalanced JS	28	3302
FP	6	Unbalanced JS	28	1
TN	6	Unbalanced JS	28	2153
TP	6	Unbalanced JS	28	323
FN	6	Unbalanced JS	29	2679
FP	6	Unbalanced JS	29	18
TN	6	Unbalanced JS	29	2141
TP	6	Unbalanced JS	29	970
FN	6	Unbalanced JS	30	3359
FP	6	Unbalanced JS	30	0
TN	6	Unbalanced JS	30	2144
TP	6	Unbalanced JS	30	262
FN	6	Unbalanced OLS	1	2785
FP	6	Unbalanced OLS	1	116
TN	6	Unbalanced OLS	1	2037
TP	6	Unbalanced OLS	1	863
FN	6	Unbalanced OLS	2	3282
FP	6	Unbalanced OLS	2	4
TN	6	Unbalanced OLS	2	2153
TP	6	Unbalanced OLS	2	355
FN	6	Unbalanced OLS	3	3047
FP	6	Unbalanced OLS	3	1
TN	6	Unbalanced OLS	3	2156
TP	6	Unbalanced OLS	3	601
FN	6	Unbalanced OLS	4	3239
FP	6	Unbalanced OLS	4	2
TN	6	Unbalanced OLS	4	2150
TP	6	Unbalanced OLS	4	393
FN	6	Unbalanced OLS	5	2745
FP	6	Unbalanced OLS	5	1
TN	6	Unbalanced OLS	5	2163
TP	6	Unbalanced OLS	5	904
FN	6	Unbalanced OLS	6	3589
FP	6	Unbalanced OLS	6	0
TN	6	Unbalanced OLS	6	2160
TP	6	Unbalanced OLS	6	43
FN	6	Unbalanced OLS	7	2813
FP	6	Unbalanced OLS	7	10
TN	6	Unbalanced OLS	7	2144
TP	6	Unbalanced OLS	7	832
FN	6	Unbalanced OLS	8	3562
FP	6	Unbalanced OLS	8	0
TN	6	Unbalanced OLS	8	2154
TP	6	Unbalanced OLS	8	76
FN	6	Unbalanced OLS	9	2290
FP	6	Unbalanced OLS	9	108
TN	6	Unbalanced OLS	9	2054
TP	6	Unbalanced OLS	9	1360
FN	6	Unbalanced OLS	10	3564
FP	6	Unbalanced OLS	10	0
TN	6	Unbalanced OLS	10	2151
TP	6	Unbalanced OLS	10	66
FN	6	Unbalanced OLS	11	3129
FP	6	Unbalanced OLS	11	3
TN	6	Unbalanced OLS	11	2160
TP	6	Unbalanced OLS	11	519
FN	6	Unbalanced OLS	12	3466
FP	6	Unbalanced OLS	12	0
TN	6	Unbalanced OLS	12	2160
TP	6	Unbalanced OLS	12	162
FN	6	Unbalanced OLS	13	2469
FP	6	Unbalanced OLS	13	31
TN	6	Unbalanced OLS	13	2129
TP	6	Unbalanced OLS	13	1179
FN	6	Unbalanced OLS	14	3553
FP	6	Unbalanced OLS	14	0
TN	6	Unbalanced OLS	14	2156
TP	6	Unbalanced OLS	14	77
FN	6	Unbalanced OLS	15	2824
FP	6	Unbalanced OLS	15	4
TN	6	Unbalanced OLS	15	2158
TP	6	Unbalanced OLS	15	826
FN	6	Unbalanced OLS	16	3529
FP	6	Unbalanced OLS	16	0
TN	6	Unbalanced OLS	16	2153
TP	6	Unbalanced OLS	16	105
FN	6	Unbalanced OLS	17	2820
FP	6	Unbalanced OLS	17	6
TN	6	Unbalanced OLS	17	2151
TP	6	Unbalanced OLS	17	829
FN	6	Unbalanced OLS	18	3556
FP	6	Unbalanced OLS	18	0
TN	6	Unbalanced OLS	18	2154
TP	6	Unbalanced OLS	18	73
FN	6	Unbalanced OLS	19	2309
FP	6	Unbalanced OLS	19	57
TN	6	Unbalanced OLS	19	2105
TP	6	Unbalanced OLS	19	1341
FN	6	Unbalanced OLS	20	3145
FP	6	Unbalanced OLS	20	3
TN	6	Unbalanced OLS	20	2151
TP	6	Unbalanced OLS	20	486
FN	6	Unbalanced OLS	21	2026
FP	6	Unbalanced OLS	21	121
TN	6	Unbalanced OLS	21	2042
TP	6	Unbalanced OLS	21	1622
FN	6	Unbalanced OLS	22	2866
FP	6	Unbalanced OLS	22	11
TN	6	Unbalanced OLS	22	2151
TP	6	Unbalanced OLS	22	772
FN	6	Unbalanced OLS	23	2219
FP	6	Unbalanced OLS	23	28
TN	6	Unbalanced OLS	23	2137
TP	6	Unbalanced OLS	23	1432
FN	6	Unbalanced OLS	24	3519
FP	6	Unbalanced OLS	24	5
TN	6	Unbalanced OLS	24	2149
TP	6	Unbalanced OLS	24	112
FN	6	Unbalanced OLS	25	2713
FP	6	Unbalanced OLS	25	6
TN	6	Unbalanced OLS	25	2155
TP	6	Unbalanced OLS	25	935
FN	6	Unbalanced OLS	26	3483
FP	6	Unbalanced OLS	26	0
TN	6	Unbalanced OLS	26	2156
TP	6	Unbalanced OLS	26	144
FN	6	Unbalanced OLS	27	3386
FP	6	Unbalanced OLS	27	0
TN	6	Unbalanced OLS	27	2164
TP	6	Unbalanced OLS	27	265
FN	6	Unbalanced OLS	28	3413
FP	6	Unbalanced OLS	28	0
TN	6	Unbalanced OLS	28	2154
TP	6	Unbalanced OLS	28	212
FN	6	Unbalanced OLS	29	2889
FP	6	Unbalanced OLS	29	10
TN	6	Unbalanced OLS	29	2149
TP	6	Unbalanced OLS	29	760
FN	6	Unbalanced OLS	30	3423
FP	6	Unbalanced OLS	30	0
TN	6	Unbalanced OLS	30	2144
TP	6	Unbalanced OLS	30	198
FN	8	Balanced	1	2757
FP	8	Balanced	1	6
TN	8	Balanced	1	2150
TP	8	Balanced	1	893
FN	8	Balanced	2	1796
FP	8	Balanced	2	21
TN	8	Balanced	2	2132
TP	8	Balanced	2	1850
FN	8	Balanced	3	2459
FP	8	Balanced	3	9
TN	8	Balanced	3	2145
TP	8	Balanced	3	1188
FN	8	Balanced	4	2939
FP	8	Balanced	4	8
TN	8	Balanced	4	2147
TP	8	Balanced	4	705
FN	8	Balanced	5	3303
FP	8	Balanced	5	0
TN	8	Balanced	5	2146
TP	8	Balanced	5	338
FN	8	Balanced	6	2531
FP	8	Balanced	6	20
TN	8	Balanced	6	2143
TP	8	Balanced	6	1117
FN	8	Balanced	7	2953
FP	8	Balanced	7	6
TN	8	Balanced	7	2152
TP	8	Balanced	7	695
FN	8	Balanced	8	1583
FP	8	Balanced	8	163
TN	8	Balanced	8	1997
TP	8	Balanced	8	2068
FN	8	Balanced	9	2146
FP	8	Balanced	9	54
TN	8	Balanced	9	2109
TP	8	Balanced	9	1505
FN	8	Balanced	10	2871
FP	8	Balanced	10	0
TN	8	Balanced	10	2163
TP	8	Balanced	10	776
FN	8	Balanced	11	2690
FP	8	Balanced	11	7
TN	8	Balanced	11	2155
TP	8	Balanced	11	962
FN	8	Balanced	12	3075
FP	8	Balanced	12	3
TN	8	Balanced	12	2157
TP	8	Balanced	12	574
FN	8	Balanced	13	3408
FP	8	Balanced	13	0
TN	8	Balanced	13	2160
TP	8	Balanced	13	242
FN	8	Balanced	14	3159
FP	8	Balanced	14	2
TN	8	Balanced	14	2159
TP	8	Balanced	14	493
FN	8	Balanced	15	1949
FP	8	Balanced	15	43
TN	8	Balanced	15	2120
TP	8	Balanced	15	1701
FN	8	Balanced	16	2589
FP	8	Balanced	16	29
TN	8	Balanced	16	2128
TP	8	Balanced	16	1059
FN	8	Balanced	17	2881
FP	8	Balanced	17	3
TN	8	Balanced	17	2150
TP	8	Balanced	17	765
FN	8	Balanced	18	3174
FP	8	Balanced	18	5
TN	8	Balanced	18	2151
TP	8	Balanced	18	473
FN	8	Balanced	19	2701
FP	8	Balanced	19	1
TN	8	Balanced	19	2144
TP	8	Balanced	19	945
FN	8	Balanced	20	2611
FP	8	Balanced	20	1
TN	8	Balanced	20	2151
TP	8	Balanced	20	1037
FN	8	Balanced	21	2876
FP	8	Balanced	21	0
TN	8	Balanced	21	2149
TP	8	Balanced	21	770
FN	8	Balanced	22	3162
FP	8	Balanced	22	0
TN	8	Balanced	22	2160
