Total	Test_Condition	TPR	FPR	q
24	Unbalanced JS	0.186684831822623	0.0388934712370721	0.04
24	Unbalanced OLS	0.177985277784323	0.0373195164931589	0.04
4	Balanced	0.235133256381836	0.045873103344495	0.05
4	Unbalanced JS	0.298964395956275	0.0665206640416924	0.05
4	Unbalanced OLS	0.229508905558106	0.0415341478586468	0.05
6	Balanced	0.324343502569442	0.0272282633885786	0.05
6	Unbalanced JS	0.250871542879936	0.0510323157720216	0.05
6	Unbalanced OLS	0.208456732545036	0.0384202685414885	0.05
8	Balanced	0.368388523350739	0.0207209228688749	0.05
8	Unbalanced JS	0.233444421904678	0.0530209567069174	0.05
8	Unbalanced OLS	0.202338003507977	0.0450959824358624	0.05
10	Balanced	0.501711646451381	0.0378541806075057	0.05
10	Unbalanced JS	0.233967871289216	0.0599078550551521	0.05
10	Unbalanced OLS	0.209577822055941	0.0535769169765242	0.05
12	Balanced	0.459193520137083	0.034288486768467	0.05
12	Unbalanced JS	0.248544228027994	0.0846145094037424	0.05
12	Unbalanced OLS	0.227296848576764	0.0753967376099712	0.05
14	Balanced	0.527489257553232	0.0341117637676247	0.05
14	Unbalanced JS	0.246272158684725	0.0655169128452726	0.05
14	Unbalanced OLS	0.229262768126492	0.0593092801583853	0.05
16	Balanced	0.573943226304093	0.0341471282167193	0.05
16	Unbalanced JS	0.19361563100464	0.0428509731820913	0.05
16	Unbalanced OLS	0.179562803440045	0.0386819881762485	0.05
18	Balanced	0.631311110937188	0.0635224089470192	0.05
18	Unbalanced JS	0.216709735483355	0.0486825311174807	0.05
18	Unbalanced OLS	0.203441900121507	0.0454590159877055	0.05
20	Balanced	0.635409977032796	0.039051263820523	0.05
20	Unbalanced JS	0.181151565698537	0.033778834493468	0.05
20	Unbalanced OLS	0.169532741512797	0.0307834267718272	0.05
22	Balanced	0.675427936618527	0.0434724093822102	0.05
22	Unbalanced JS	0.182812682669564	0.0250254794109251	0.05
22	Unbalanced OLS	0.172076497210618	0.0234663071605825	0.05
24	Balanced	0.711302410359676	0.0550748470202215	0.05
24	Unbalanced JS	0.197957520542159	0.0417169273870157	0.05
24	Unbalanced OLS	0.189153702553981	0.0399426693405234	0.05
4	Balanced	0.247571999953976	0.0500483657823325	0.06
4	Unbalanced JS	0.311982496018796	0.0715206184035381	0.06
4	Unbalanced OLS	0.240649023110633	0.0459781899096904	0.06
6	Balanced	0.340885786884047	0.0314793399054327	0.06
6	Unbalanced JS	0.262839130233353	0.0560342626485364	0.06
6	Unbalanced OLS	0.219632439007486	0.0420634173379784	0.06
8	Balanced	0.38759489586176	0.0245850200145807	0.06
8	Unbalanced JS	0.2454386724205	0.0568683547510482	0.06
8	Unbalanced OLS	0.212702126185959	0.0483258655665765	0.06
10	Balanced	0.522222988637837	0.0430289753604893	0.06
10	Unbalanced JS	0.246614722602003	0.0639526294801549	0.06
10	Unbalanced OLS	0.219851037850659	0.0567267997640522	0.06
