run_accession	fastq_ftp	lane	Sample_ID
ERR458686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458686/ERR458686.fastq.gz	5	SA-PE-034
ERR458687	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458687/ERR458687.fastq.gz	6	SA-PE-034
ERR458688	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458688/ERR458688.fastq.gz	7	SA-PE-034
ERR458689	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458689/ERR458689.fastq.gz	1	SA-PE-074
ERR458690	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458690/ERR458690.fastq.gz	2	SA-PE-074
ERR458691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458691/ERR458691.fastq.gz	3	SA-PE-074
ERR458692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458692/ERR458692.fastq.gz	4	SA-PE-074
ERR458693	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458693/ERR458693.fastq.gz	5	SA-PE-074
ERR458694	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458694/ERR458694.fastq.gz	6	SA-PE-074
ERR458695	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458695/ERR458695.fastq.gz	7	SA-PE-074
ERR458696	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458696/ERR458696.fastq.gz	1	SA-PE-057
ERR458697	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458697/ERR458697.fastq.gz	2	SA-PE-057
ERR458698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458698/ERR458698.fastq.gz	3	SA-PE-057
ERR458699	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458699/ERR458699.fastq.gz	4	SA-PE-057
ERR458700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458700/ERR458700.fastq.gz	5	SA-PE-057
ERR458701	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458701/ERR458701.fastq.gz	6	SA-PE-057
ERR458702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458702/ERR458702.fastq.gz	7	SA-PE-057
ERR458703	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458703/ERR458703.fastq.gz	1	SA-PE-016
ERR458704	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458704/ERR458704.fastq.gz	2	SA-PE-016
ERR458705	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458705/ERR458705.fastq.gz	3	SA-PE-016
