Total	Test_Condition	TPR	FPR	q
14	Unbalanced OLS	0.176065078155562	0.036871801307875	0.04
16	Balanced	0.557128959165569	0.0357855449916712	0.04
16	Unbalanced JS	0.202574497677601	0.0394680431040404	0.04
16	Unbalanced OLS	0.174226868783338	0.0334754457739581	0.04
18	Balanced	0.61734993364015	0.0308914047652314	0.04
18	Unbalanced JS	0.192246077311116	0.0231235038141319	0.04
18	Unbalanced OLS	0.166614360353831	0.0196027712487925	0.04
20	Balanced	0.632390921318534	0.0414148698454454	0.04
20	Unbalanced JS	0.171417397964514	0.0155679422873862	0.04
20	Unbalanced OLS	0.14950398012761	0.0128837733635742	0.04
22	Balanced	0.65497306130121	0.0408562475031891	0.04
22	Unbalanced JS	0.211203604020278	0.0310144067333628	0.04
22	Unbalanced OLS	0.18650252785486	0.0263015956659251	0.04
24	Balanced	0.695100768644837	0.0354096622852901	0.04
24	Unbalanced JS	0.198590440742406	0.0299814772959485	0.04
24	Unbalanced OLS	0.174553834407946	0.0226292598637299	0.04
4	Balanced	0.208066555242537	0.0104876275133748	0.05
4	Unbalanced JS	0.262857542434548	0.0577215520630868	0.05
4	Unbalanced OLS	0.188256811607701	0.0342180224569701	0.05
6	Balanced	0.346240326895231	0.0312305245799825	0.05
6	Unbalanced JS	0.287866958973753	0.033108321432562	0.05
6	Unbalanced OLS	0.235200965903965	0.0213152596870952	0.05
8	Balanced	0.368307634620547	0.0223418044961806	0.05
8	Unbalanced JS	0.234571205083878	0.0478220993900875	0.05
8	Unbalanced OLS	0.191433077464223	0.0382505470292041	0.05
10	Balanced	0.426833901583525	0.0208560026794032	0.05
10	Unbalanced JS	0.253298255852322	0.0385967177740479	0.05
10	Unbalanced OLS	0.214287551179199	0.0277204421874963	0.05
12	Balanced	0.533908742420782	0.047906027566287	0.05
12	Unbalanced JS	0.230493313878539	0.0363298405701534	0.05
12	Unbalanced OLS	0.196131143290644	0.0285001841408882	0.05
14	Balanced	0.538030251857384	0.0394076181725132	0.05
14	Unbalanced JS	0.216195432186999	0.0488308901333519	0.05
14	Unbalanced OLS	0.187577316886752	0.0407501273691955	0.05
16	Balanced	0.580274740209876	0.0433777814081643	0.05
16	Unbalanced JS	0.215474605272811	0.0433119837458955	0.05
16	Unbalanced OLS	0.186879477734167	0.0367022773821813	0.05
18	Balanced	0.640739562123574	0.0379003492193751	0.05
18	Unbalanced JS	0.204211317980145	0.0257318536592657	0.05
18	Unbalanced OLS	0.177750471471816	0.0216855636291543	0.05
20	Balanced	0.654506619959591	0.0497984085196972	0.05
20	Unbalanced JS	0.182480824597109	0.0175425532879256	0.05
20	Unbalanced OLS	0.159071769661055	0.0146890234688487	0.05
22	Balanced	0.677556535084105	0.0492275942087255	0.05
22	Unbalanced JS	0.223811408943394	0.0338571864156045	0.05
22	Unbalanced OLS	0.198776308495289	0.0295302599399239	0.05
24	Balanced	0.716659865577664	0.0432240476201131	0.05
24	Unbalanced JS	0.210761866027539	0.0346418477955027	0.05
24	Unbalanced OLS	0.187008047643399	0.0271220018958183	0.05
4	Balanced	0.219468742900129	0.0120783579067648	0.06
4	Unbalanced JS	0.274887753686229	0.0636451209579543	0.06
4	Unbalanced OLS	0.198549107873584	0.0376229338214283	0.06
6	Balanced	0.362960423658524	0.0359566658252819	0.06
6	Unbalanced JS	0.300777279158539	0.0369674247820827	0.06
6	Unbalanced OLS	0.246442772438159	0.0243864228538637	0.06
8	Balanced	0.386582856498732	0.0262332576105054	0.06
8	Unbalanced JS	0.245441913500364	0.0517279642351308	0.06
8	Unbalanced OLS	0.202062262525939	0.0409827555591137	0.06
10	Balanced	0.446864954298438	0.0243321352341095	0.06
10	Unbalanced JS	0.265351166982145	0.0431063987448668	0.06
10	Unbalanced OLS	0.226433250956573	0.0313664762456953	0.06
12	Balanced	0.553936679397623	0.0559066921945578	0.06
12	Unbalanced JS	0.241623029533011	0.0399747227542864	0.06
12	Unbalanced OLS	0.20754190341674	0.0315440509889589	0.06
14	Balanced	0.558657652120742	0.0460640324624491	0.06
14	Unbalanced JS	0.227764550569854	0.0533743303148085	0.06
14	Unbalanced OLS	0.197292280552993	0.0443184638048105	0.06
16	Balanced	0.599840091236509	0.0502305513706407	0.06
16	Unbalanced JS	0.226921844178745	0.0462769002163582	0.06
16	Unbalanced OLS	0.197591259764287	0.0396505710324683	0.06
18	Balanced	0.661706741965067	0.0453727561289845	0.06
18	Unbalanced JS	0.215464104509026	0.0281849665429305	0.06
18	Unbalanced OLS	0.187855107534715	0.0236147482907865	0.06
20	Balanced	0.673132925066826	0.0577667334729045	0.06
20	Unbalanced JS	0.19251741723522	0.0197177749944718	0.06
20	Unbalanced OLS	0.168577441307677	0.0161853822652932	0.06
22	Balanced	0.696495096524407	0.058542170565518	0.06
22	Unbalanced JS	0.235317830511161	0.0367460707499209	0.06
