SA-PE-005_7	5.0	4.0	0.0	3.0	1.0	4.0	11.0	14.0	15.0	46.0	64.0	121.0	184.0	240.0	344.0	430.0	636.0	802.0	1037.0	1399.0	2014.0	2803.0	3961.0	6090.0	8836.0	12793.0	17840.0	24370.0	32431.0	42481.0	54290.0	68115.0	85436.0	108507.0	140588.0	186178.0	243095.0	276903.0	203.0
SA-PE-006_1	9.0	0.0	2.0	3.0	2.0	1.0	6.0	12.0	13.0	46.0	98.0	165.0	253.0	374.0	448.0	591.0	794.0	1010.0	1410.0	1864.0	2509.0	3525.0	5160.0	7341.0	10727.0	15237.0	21417.0	29776.0	39363.0	50399.0	63925.0	79431.0	99200.0	126096.0	162408.0	214194.0	280524.0	303855.0	227.0
SA-PE-006_2	5.0	7.0	2.0	2.0	3.0	5.0	8.0	15.0	28.0	59.0	89.0	167.0	254.0	324.0	434.0	576.0	745.0	970.0	1317.0	1797.0	2427.0	3473.0	5012.0	7449.0	10999.0	15439.0	21842.0	30051.0	39308.0	50606.0	63974.0	79075.0	98797.0	123934.0	160790.0	211866.0	273775.0	312862.0	324.0
SA-PE-006_3	9.0	1.0	2.0	1.0	2.0	5.0	10.0	26.0	30.0	49.0	108.0	160.0	252.0	330.0	472.0	621.0	766.0	1036.0	1378.0	1728.0	2499.0	3608.0	5278.0	7549.0	10962.0	15720.0	21717.0	29946.0	39787.0	51402.0	64516.0	80650.0	99868.0	125881.0	162003.0	211238.0	272379.0	295292.0	237.0
SA-PE-006_4	4.0	1.0	2.0	3.0	2.0	6.0	14.0	22.0	22.0	53.0	80.0	143.0	227.0	319.0	417.0	575.0	716.0	918.0	1207.0	1626.0	2266.0	3149.0	4705.0	6712.0	9707.0	14051.0	19810.0	27174.0	36078.0	46531.0	58759.0	73718.0	92741.0	118940.0	158202.0	206141.0	255692.0	236656.0	172.0
SA-PE-006_5	3.0	3.0	5.0	2.0	2.0	6.0	13.0	17.0	17.0	49.0	100.0	143.0	214.0	291.0	440.0	517.0	623.0	817.0	1059.0	1503.0	2024.0	2890.0	4241.0	6233.0	8895.0	12664.0	17565.0	24036.0	31891.0	41269.0	51978.0	64105.0	80605.0	101017.0	130588.0	169486.0	214228.0	226425.0	173.0
SA-PE-006_6	6.0	2.0	2.0	2.0	3.0	6.0	4.0	21.0	28.0	53.0	91.0	153.0	239.0	290.0	386.0	519.0	625.0	860.0	1146.0	1522.0	2120.0	2970.0	4281.0	6194.0	8891.0	12934.0	18051.0	24341.0	32228.0	41712.0	52522.0	64958.0	80943.0	101974.0	130995.0	170615.0	214972.0	220107.0	164.0
SA-PE-006_7	4.0	3.0	0.0	2.0	6.0	5.0	4.0	17.0	26.0	61.0	94.0	164.0	269.0	368.0	476.0	599.0	830.0	1093.0	1396.0	1935.0	2667.0	3698.0	5356.0	7655.0	11351.0	15944.0	22422.0	30343.0	39711.0	51326.0	64294.0	80090.0	99963.0	126437.0	162638.0	214739.0	279148.0	319109.0	234.0
SA-PE-007_1	13.0	3.0	2.0	2.0	2.0	11.0	16.0	24.0	46.0	65.0	109.0	238.0	371.0	509.0	716.0	872.0	1067.0	1447.0	1900.0	2508.0	3466.0	4830.0	7095.0	10072.0	14728.0	20916.0	29138.0	39299.0	52459.0	67380.0	83934.0	104235.0	130121.0	163892.0	211887.0	280103.0	365563.0	384877.0	244.0
SA-PE-007_2	8.0	1.0	1.0	2.0	6.0	11.0	11.0	19.0	40.0	84.0	115.0	232.0	384.0	482.0	635.0	816.0	1097.0	1340.0	1860.0	2575.0	3415.0	4791.0	6959.0	10136.0	14476.0	20921.0	28977.0	38941.0	51819.0	66616.0	83250.0	103373.0	128127.0	161951.0	208489.0	273379.0	353726.0	396051.0	361.0
SA-PE-007_3	12.0	2.0	1.0	0.0	4.0	6.0	17.0	19.0	34.0	59.0	126.0	221.0	391.0	508.0	659.0	804.0	1020.0	1414.0	1992.0	2412.0	3356.0	4784.0	6920.0	10038.0	14521.0	20961.0	29107.0	39203.0	51868.0	66669.0	83573.0	104061.0	129090.0	161961.0	209336.0	272958.0	351325.0	372406.0	249.0
SA-PE-007_4	8.0	2.0	3.0	1.0	2.0	6.0	11.0	24.0	33.0	76.0	125.0	190.0	308.0	452.0	561.0	701.0	929.0	1279.0	1655.0	2332.0	3067.0	4326.0	6225.0	9362.0	13106.0	19097.0	26142.0	35974.0	47263.0	60746.0	77686.0	97351.0	120990.0	155546.0	206666.0	270361.0	333091.0	299969.0	178.0
SA-PE-007_5	6.0	2.0	1.0	3.0	5.0	7.0	12.0	17.0	29.0	54.0	116.0	182.0	300.0	364.0	533.0	691.0	910.0	1220.0	1601.0	2069.0	2883.0	4000.0	5652.0	8366.0	11955.0	17001.0	23464.0	31916.0	41910.0	53674.0	67473.0	84057.0	104134.0	131061.0	169042.0	220453.0	276574.0	286514.0	209.0
SA-PE-007_6	7.0	0.0	0.0	2.0	4.0	4.0	6.0	17.0	22.0	64.0	112.0	160.0	296.0	416.0	528.0	670.0	853.0	1135.0	1546.0	1997.0	2826.0	3960.0	5699.0	8188.0	11879.0	17053.0	23638.0	32074.0	42009.0	53965.0	67740.0	84189.0	104269.0	131551.0	169440.0	220424.0	276978.0	278726.0	176.0
SA-PE-007_7	8.0	7.0	4.0	2.0	8.0	5.0	16.0	16.0	38.0	71.0	157.0	265.0	356.0	470.0	695.0	812.0	1171.0	1485.0	2035.0	2698.0	3573.0	4973.0	7344.0	10557.0	14850.0	21406.0	29562.0	40048.0	52421.0	67066.0	84168.0	104550.0	129502.0	162948.0	211199.0	277869.0	362112.0	404990.0	305.0
SA-PE-008_1	13.0	5.0	2.0	2.0	5.0	11.0	10.0	22.0	40.0	72.0	141.0	232.0	373.0	508.0	665.0	814.0	1107.0	1500.0	1861.0	2574.0	3357.0	4777.0	6664.0	9971.0	14030.0	20082.0	28205.0	37763.0	49620.0	64213.0	80147.0	99737.0	123592.0	156447.0	202232.0	264423.0	343507.0	365795.0	281.0
SA-PE-008_2	14.0	6.0	3.0	5.0	4.0	4.0	15.0	24.0	42.0	74.0	161.0	218.0	350.0	499.0	659.0	830.0	1061.0	1334.0	1885.0	2550.0	3327.0	4726.0	6863.0	9819.0	14289.0	20093.0	27976.0	38152.0	49690.0	64183.0	80135.0	99103.0	123099.0	154926.0	199474.0	260615.0	336468.0	377453.0	370.0
SA-PE-008_3	11.0	1.0	3.0	5.0	8.0	5.0	16.0	23.0	43.0	78.0	147.0	242.0	380.0	467.0	658.0	866.0	1065.0	1481.0	1796.0	2396.0	3411.0	4768.0	6613.0	9839.0	14355.0	20064.0	27955.0	38156.0	50083.0	64542.0	80133.0	99877.0	123406.0	155971.0	201442.0	260096.0	331114.0	354524.0	291.0
SA-PE-008_4	9.0	6.0	2.0	4.0	5.0	7.0	9.0	21.0	38.0	70.0	135.0	217.0	338.0	470.0	577.0	694.0	973.0	1170.0	1699.0	2097.0	2978.0	4163.0	6078.0	8749.0	12756.0	17958.0	24961.0	34151.0	44927.0	57673.0	73261.0	90945.0	114532.0	146243.0	193033.0	251340.0	310219.0	284172.0	199.0
SA-PE-008_5	8.0	3.0	0.0	1.0	7.0	8.0	18.0	24.0	43.0	62.0	116.0	191.0	325.0	401.0	533.0	682.0	905.0	1143.0	1529.0	2058.0	2711.0	3832.0	5533.0	8008.0	11431.0	16273.0	22358.0	30179.0	39867.0	51296.0	64186.0	79593.0	98580.0	123553.0	160333.0	208819.0	259406.0	270049.0	252.0
SA-PE-008_6	10.0	2.0	3.0	1.0	4.0	3.0	19.0	11.0	36.0	64.0	103.0	188.0	308.0	428.0	507.0	678.0	949.0	1170.0	1552.0	1919.0	2664.0	3828.0	5546.0	8050.0	11666.0	16575.0	22692.0	31188.0	40618.0	52435.0	65864.0	81612.0	101060.0	126270.0	162480.0	210144.0	263186.0	266239.0	204.0
SA-PE-008_7	8.0	2.0	1.0	2.0	2.0	4.0	14.0	19.0	51.0	68.0	158.0	233.0	375.0	491.0	654.0	849.0	1110.0	1476.0	1921.0	2514.0	3555.0	4799.0	7133.0	10006.0	14492.0	20229.0	27997.0	37788.0	49921.0	63706.0	79806.0	98867.0	122651.0	154052.0	198483.0	262372.0	339046.0	384153.0	299.0
SA-PE-009_1	14.0	4.0	0.0	2.0	3.0	6.0	11.0	17.0	22.0	40.0	85.0	155.0	233.0	323.0	459.0	562.0	736.0	966.0	1280.0	1692.0	2283.0	3300.0	4814.0	6996.0	10045.0	14491.0	20428.0	27602.0	36600.0	46915.0	59355.0	73693.0	90949.0	116089.0	149157.0	194364.0	252798.0	269773.0	200.0
SA-PE-009_2	10.0	1.0	2.0	1.0	3.0	5.0	7.0	17.0	22.0	46.0	90.0	144.0	248.0	328.0	384.0	515.0	691.0	939.0	1205.0	1634.0	2220.0	3228.0	4661.0	6888.0	10155.0	14689.0	20402.0	27578.0	36586.0	47167.0	58768.0	73178.0	89791.0	114301.0	146817.0	191703.0	246189.0	278332.0	288.0
SA-PE-009_3	9.0	3.0	4.0	0.0	3.0	7.0	11.0	22.0	16.0	57.0	92.0	147.0	226.0	323.0	425.0	539.0	718.0	943.0	1276.0	1654.0	2328.0	3267.0	4818.0	6987.0	10202.0	14579.0	20349.0	27904.0	36846.0	47657.0	59550.0	74109.0	90644.0	114916.0	147511.0	191335.0	244382.0	261380.0	211.0
SA-PE-009_4	3.0	1.0	1.0	1.0	4.0	3.0	10.0	25.0	21.0	48.0	42.0	135.0	177.0	307.0	378.0	478.0	617.0	871.0	1104.0	1500.0	1962.0	2892.0	4305.0	6260.0	9312.0	13132.0	18514.0	24835.0	33215.0	42862.0	54206.0	68072.0	85013.0	109019.0	144797.0	187077.0	230355.0	210143.0	151.0
